,name,price,square,num_of_room,poverh
0,,168 000 $,78 м²,2,12
1,,60 000 $,42 м²,1,4
2,,57 000 $,33 м²,1,3
3,,100 000 $,45 м²,2,2
4,,34 000 $,33 м²,1,5
5,,110 500 $,70 м²,2,6
6,,41 000 $,22 м²,1,1
7,,110 000 $,93 м²,3,4
8,,98 000 $,1 м²,1,2
9,,239 000 $,84 м²,2,16
10,,150 000 $,58 м²,1,11
11,,430 000 $,152 м²,4,4
12,,199 000 $,180 м²,4,6
13,,79 000 $,90 м²,4,1
14,,75 000 $,52 м²,2,9
15,,106 000 $,52 м²,1,6
16,,160 000 $,74 м²,2,3
17,,220 000 $,95 м²,2,16
18,,105 000 $,54 м²,1,25
19,,49 999 $,46 м²,2,4
20,,170 000 $,74 м²,2,10
21,,240 000 $,101 м²,3,16
22,,80 500 $,32 м²,1,2
23,,47 000 $,22 м²,1,6
24,,55 000 $,61 м²,3,3
25,,160 000 $,47 м²,1,2
26,,130 000 $,48 м²,2,3
27,,55 000 $,45 м²,2,4
28,,135 000 $,50 м²,2,4
29,,580 000 $,140 м²,3,3
30,,206 000 $,147 м²,3,14
31,,70 000 $,55 м²,2,16
32,,74 000 $,31 м²,1,16
33,,70 000 $,28 м²,1,16
34,,870 000 $,225 м²,4,9
35,,136 999 $,68 м²,2,3
36,,155 000 $,55 м²,2,3
37,,73 700 $,67 м²,2,11
38,,87 000 $,30 м²,1,3
39,,220 000 $,60 м²,2,6
40,,28 300 $,28 м²,1,1
41,,180 000 $,81 м²,3,7
42,,420 000 $,120 м²,5,9
43,,350 000 $,134 м²,3,12
44,,155 000 $,68 м²,2,2
45,,450 000 $,160 м²,3,5
46,,105 000 $,46 м²,2,2
47,,63 000 $,47 м²,1,1
48,,225 000 $,49 м²,2,13
49,,419 000 $,182 м²,4,3
50,,200 000 $,111 м²,3,12
51,,85 000 $,53 м²,1,16
52,,61 000 $,56 м²,2,15
53,,95 000 $,52 м²,1,29
54,,449 000 $,154 м²,4,5
55,,190 000 $,68 м²,2,6
56,,215 000 $,105 м²,3,15
57,,105 000 $,53 м²,2,8
58,,266 700 $,127 м²,3,7
59,,198 000 $,91 м²,3,12
60,,65 000 $,66 м²,2,14
61,,165 000 $,43 м²,2,7
62,,190 000 $,125 м²,4,8
63,,340 000 $,160 м²,4,16
64,,132 000 $,54 м²,2,22
65,,250 000 $,128 м²,2,14
66,,241 625 $,97 м²,2,12
67,,113 400 $,48 м²,1,11
68,,340 000 $,160 м²,4,16
69,,460 000 $,142 м²,3,9
70,,125 000 $,45 м²,1,11
71,,225 000 $,82 м²,3,1
72,,70 000 $,51 м²,1,5
73,,162 000 $,125 м²,1,24
74,,109 000 $,59 м²,3,2
75,,370 000 $,370 м²,9,3
76,,111 000 $,85 м²,3,15
77,,168 000 $,78 м²,2,12
78,,60 000 $,47 м²,1,5
79,,160 000 $,65 м²,2,19
80,,900 000 $,181 м²,4,4
81,,299 000 $,82 м²,2,16
82,,130 000 $,54 м²,2,21
83,,74 000 $,47 м²,2,11
84,,260 000 $,91 м²,2,6
85,,210 000 $,85 м²,2,5
86,,205 000 $,106 м²,3,16
87,,215 576 $,88 м²,2,8
88,,113 400 $,48 м²,1,11
89,,226 975 $,91 м²,2,12
90,,140 400 $,54 м²,1,4
91,,95 000 $,52 м²,1,29
92,,60 400 $,47 м²,1,21
93,,160 000 $,93 м²,3,8
94,,350 000 $,250 м²,3,13
95,,240 000 $,64 м²,1,16
96,,210 000 $,85 м²,1,5
97,,135 000 $,76 м²,3,10
98,,640 000 $,174 м²,5,4
99,,200 000 $,85 м²,2,4
100,,140 000 $,70 м²,2,8
101,,225 000 $,127 м²,3,16
102,,106 000 $,52 м²,1,5
103,,115 000 $,46 м²,1,3
104,,110 000 $,50 м²,1,19
105,,110 000 $,71 м²,3,8
106,,42 000 $,26 м²,1,2
107,,283 500 $,111 м²,3,3
108,,115 000 $,55 м²,2,8
109,,270 000 $,68 м²,2,6
110,,750 000 $,535 м²,7,8
111,,550 000 $,295 м²,5,15
112,,309 000 $,86 м²,2,17
113,,234 000 $,97 м²,3,9
114,,220 000 $,98 м²,2,4
115,,87 000 $,52 м²,1,7
116,,223 000 $,141 м²,4,24
117,,174 000 $,52 м²,1,9
118,,880 844 $,200 м²,4,5
119,,175 000 $,93 м²,2,8
120,,240 000 $,85 м²,2,15
121,,75 000 $,43 м²,1,3
122,,90 000 $,40 м²,1,4
123,,95 000 $,52 м²,1,29
124,,105 000 $,52 м²,2,2
125,,108 000 $,52 м²,1,15
126,,245 000 $,89 м²,2,17
127,,380 000 $,222 м²,5,2
128,,224 066 $,97 м²,2,5
129,,110 000 $,42 м²,2,12
130,,165 000 $,87 м²,3,20
131,,168 000 $,78 м²,2,12
132,,225 000 $,87 м²,3,22
133,,186 000 $,143 м²,3,4
134,,190 000 $,47 м²,1,5
135,,265 000 $,87 м²,3,18
136,,100 000 $,99 м²,3,24
137,,721 000 $,280 м²,7,3
138,,280 000 $,109 м²,4,4
139,,145 000 $,94 м²,3,11
140,,350 000 $,250 м²,3,13
141,,266 700 $,127 м²,4,7
142,,420 000 $,222 м²,4,9
143,,407 000 $,110 м²,2,7
144,,113 400 $,47 м²,1,11
145,,250 000 $,128 м²,2,14
146,,340 000 $,121 м²,3,5
147,,379 000 $,160 м²,4,4
148,,220 000 $,70 м²,2,10
149,,208 000 $,89 м²,2,10
150,,135 000 $,62 м²,2,20
151,,450 000 $,160 м²,3,5
152,,148 250 $,67 м²,2,20
153,,1 200 000 $,320 м²,3,8
154,,210 000 $,121 м²,3,14
155,,155 000 $,100 м²,3,18
156,,108 079 $,52 м²,1,18
157,,243 000 $,87 м²,3,2
158,,590 000 $,208 м²,5,22
159,,650 000 $,250 м²,4,7
160,,580 000 $,145 м²,3,8
161,,477 000 $,159 м²,3,5
162,,810 000 $,232 м²,4,10
163,,190 000 $,46 м²,2,12
164,,430 000 $,195 м²,1,7
165,,120 000 $,50 м²,1,13
166,,99 000 $,50 м²,1,19
167,,190 000 $,47 м²,1,5
168,,73 500 $,51 м²,5,4
169,,399 000 $,120 м²,3,1
170,,110 000 $,60 м²,2,4
171,,74 000 $,49 м²,1,12
172,,270 000 $,82 м²,2,4
173,,176 000 $,78 м²,1,30
174,,196 500 $,87 м²,1,26
175,,108 079 $,52 м²,1,18
176,,148 000 $,83 м²,2,9
177,,154 000 $,48 м²,2,6
178,,120 000 $,75 м²,2,12
179,,110 000 $,50 м²,1,21
180,,92 000 $,92 м²,3,8
181,,170 000 $,50 м²,1,6
182,,85 000 $,53 м²,2,28
183,,110 000 $,50 м²,1,3
184,,69 000 $,34 м²,9,9
185,,500 000 $,294 м²,10,4
186,,160 000 $,54 м²,2,14
187,,120 000 $,57 м²,1,10
188,,300 000 $,150 м²,3,1
189,,90 000 $,41 м²,1,11
190,,60 000 $,42 м²,2,4
191,,180 000 $,93 м²,3,18
192,,130 000 $,88 м²,3,10
193,,165 000 $,47 м²,2,2
194,,97 000 $,50 м²,2,6
195,,105 000 $,52 м²,2,2
196,,248 000 $,151 м²,3,5
197,,230 000 $,98 м²,2,5
198,,194 400 $,108 м²,1,5
199,,310 000 $,150 м²,3,5
200,,350 000 $,92 м²,2,7
201,,225 000 $,96 м²,2,14
202,,99 000 $,50 м²,1,19
203,,96 500 $,49 м²,2,17
204,,495 000 $,103 м²,3,4
205,,185 000 $,112 м²,3,15
206,,265 000 $,93 м²,1,14
207,,460 000 $,100 м²,3,9
208,,205 000 $,65 м²,2,2
209,,200 000 $,156 м²,1,7
210,,100 000 $,76 м²,2,4
211,,58 000 $,32 м²,1,5
212,,140 000 $,53 м²,2,2
213,,450 000 $,130 м²,3,2
214,,129 900 $,83 м²,3,16
215,,135 000 $,6 м²,3,6
216,,150 000 $,67 м²,2,8
217,,255 000 $,94 м²,2,6
218,,200 000 $,54 м²,2,4
219,,106 500 $,71 м²,2,5
220,,115 000 $,55 м²,1,11
221,,155 000 $,69 м²,2,14
222,,210 000 $,75 м²,2,12
223,,98 000 $,78 м²,2,3
224,,120 000 $,50 м²,1,13
225,,940 000 $,216 м²,3,9
226,,140 000 $,88 м²,3,4
227,,230 000 $,88 м²,3,14
228,,158 000 $,100 м²,3,2
229,,200 000 $,84 м²,3,4
230,,340 000 $,125 м²,3,16
231,,102 000 $,77 м²,2,4
232,,1 450 000 $,200 м²,4,5
233,,149 000 $,63 м²,2,8
234,,195 000 $,83 м²,2,6
235,,210 000 $,218 м²,6,15
236,,554 000 $,154 м²,4,2
237,,180 000 $,93 м²,3,18
238,,227 000 $,89 м²,2,18
239,,67 200 $,31 м²,1,12
240,,109 650 $,43 м²,1,15
241,,680 000 $,171 м²,4,6
242,,295 000 $,89 м²,3,5
243,,155 000 $,71 м²,2,13
244,,500 000 $,87 м²,2,3
245,,255 000 $,94 м²,2,6
246,,550 000 $,295 м²,5,15
247,,120 000 $,84 м²,2,8
248,,97 000 $,33 м²,1,12
249,,160 000 $,54 м²,2,14
250,,127 200 $,53 м²,1,7
251,,598 500 $,285 м²,5,9
252,,105 000 $,54 м²,1,26
253,,1 200 000 $,200 м²,4,17
254,,2 300 000 $,415 м²,4,5
255,,150 000 $,56 м²,2,4
256,,230 000 $,88 м²,3,4
257,,1 200 000 $,320 м²,3,8
258,,95 000 $,104 м²,2,7
259,,155 250 $,69 м²,3,20
260,,231 000 $,96 м²,2,14
261,,177 500 $,79 м²,2,27
262,,171 000 $,94 м²,3,4
263,,1 200 000 $,172 м²,3,3
264,,165 000 $,66 м²,2,14
265,,120 000 $,54 м²,2,2
266,,235 000 $,82 м²,2,9
267,,174 500 $,80 м²,3,9
268,,87 000 $,53 м²,1,26
269,,105 000 $,57 м²,2,1
270,,342 000 $,122 м²,3,8
271,,141 500 $,52 м²,1,35
272,,310 000 $,150 м²,3,4
273,,750 000 $,535 м²,7,8
274,,360 000 $,160 м²,4,11
275,,200 000 $,121 м²,4,10
276,,450 000 $,98 м²,2,21
277,,115 000 $,71 м²,1,15
278,,195 000 $,83 м²,3,16
279,,340 000 $,125 м²,3,16
280,,85 000 $,46 м²,1,5
281,,540 000 $,180 м²,4,5
282,,145 000 $,53 м²,2,3
283,,220 000 $,98 м²,3,10
284,,192 000 $,300 м²,7,1
285,,170 000 $,70 м²,2,15
286,,200 000 $,130 м²,3,10
287,,107 000 $,78 м²,2,3
288,,160 000 $,59 м²,1,5
289,,85 000 $,52 м²,2,10
290,,117 700 $,107 м²,3,18
291,,265 000 $,87 м²,1,19
292,,355 000 $,88 м²,3,7
293,,120 000 $,71 м²,1,15
294,,135 000 $,65 м²,2,5
295,,105 000 $,49 м²,1,21
296,,105 000 $,49 м²,1,20
297,,108 000 $,52 м²,2,15
298,,105 000 $,52 м²,2,2
299,,295 000 $,70 м²,2,3
300,,220 000 $,82 м²,3,1
301,,70 000 $,49 м²,1,12
302,,189 000 $,99 м²,2,3
303,,89 500 $,45 м²,2,15
304,,135 000 $,48 м²,1,12
305,,88 000 $,52 м²,1,Цокольний
306,,140 000 $,100 м²,5,1
307,,195 000 $,125 м²,4,8
308,,230 000 $,90 м²,3,6
309,,125 000 $,48 м²,1,20
310,,310 000 $,82 м²,2,9
311,,208 000 $,89 м²,2,10
312,,59 000 $,47 м²,1,5
313,,219 500 $,89 м²,2,15
314,,644 800 $,202 м²,4,5
315,,183 600 $,108 м²,2,5
316,,110 000 $,50 м²,1,21
317,,155 000 $,69 м²,1,14
318,,200 000 $,50 м²,1,2
319,,170 000 $,64 м²,2,4
320,,175 000 $,78 м²,2,5
321,,149 000 $,63 м²,2,8
322,,145 000 $,52 м²,2,2
323,,90 000 $,53 м²,2,10
324,,165 000 $,66 м²,2,14
325,,110 000 $,41 м²,1,7
326,,140 000 $,53 м²,2,2
327,,95 000 $,47 м²,1,2
328,,125 000 $,46 м²,2,3
329,,96 500 $,53 м²,3,2
330,,74 000 $,47 м²,2,11
331,,310 000 $,94 м²,2,3
332,,310 000 $,80 м²,2,10
333,,156 000 $,90 м²,3,10
334,,186 000 $,78 м²,2,7
335,,165 000 $,167 м²,5,13
336,,90 000 $,64 м²,2,13
337,,155 000 $,99 м²,3,18
338,,130 000 $,80 м²,2,13
339,,239 225 $,96 м²,2,14
340,,235 000 $,75 м²,3,3
341,,70 000 $,60 м²,3,5
342,,190 000 $,77 м²,2,11
343,,52 000 $,60 м²,1,17
344,,93 000 $,103 м²,3,19
345,,70 000 $,53 м²,3,9
346,,65 700 $,48 м²,1,5
347,,89 000 $,44 м²,1,19
348,,67 000 $,51 м²,2,9
349,,84 000 $,42 м²,1,9
350,,192 000 $,55 м²,2,4
351,,145 000 $,52 м²,2,4
352,,160 000 $,58 м²,1,25
353,,170 000 $,80 м²,3,8
354,,140 000 $,84 м²,2,4
355,,100 000 $,50 м²,1,2
356,,210 000 $,100 м²,1,3
357,,155 000 $,69 м²,2,19
358,,176 000 $,92 м²,2,13
359,,120 000 $,61 м²,1,5
360,,75 000 $,35 м²,1,1
361,,120 000 $,51 м²,1,18
362,,114 000 $,126 м²,3,11
363,,52 000 $,61 м²,1,18
364,,253 995 $,86 м²,2,5
365,,99 700 $,70 м²,2,5
366,,58 999 $,45 м²,2,4
367,,324 000 $,208 м²,5,5
368,,124 999 $,48 м²,1,1
369,,210 000 $,60 м²,1,18
370,,270 000 $,110 м²,3,4
371,,298 000 $,134 м²,4,4
372,,220 000 $,82 м²,2,13
373,,230 000 $,96 м²,3,6
374,,115 000 $,49 м²,1,2
375,,70 000 $,53 м²,1,9
376,,79 989 $,46 м²,1,20
377,,359 999 $,106 м²,3,3
378,,58 000 $,31 м²,1,3
379,,125 000 $,53 м²,2,2
380,,179 999 $,75 м²,2,5
381,,174 999 $,85 м²,2,5
382,,120 000 $,58 м²,1,16
383,,80 000 $,46 м²,1,22
384,,125 000 $,46 м²,1,13
385,,175 000 $,55 м²,2,3
386,,180 000 $,71 м²,2,18
387,,188 000 $,75 м²,2,20
388,,114 000 $,47 м²,1,5
389,,71 000 $,51 м²,1,3
390,,75 000 $,58 м²,2,7
391,,64 000 $,60 м²,1,3
392,,84 000 $,61 м²,2,16
393,,79 995 $,39 м²,1,1
394,,105 000 $,46 м²,2,5
395,,250 000 $,39 м²,1,31
396,,85 000 $,50 м²,2,18
397,,153 000 $,60 м²,2,2
398,,200 000 $,160 м²,4,4
399,,220 000 $,86 м²,2,6
400,,220 000 $,54 м²,2,2
401,,220 000 $,54 м²,2,2
402,,105 000 $,46 м²,2,2
403,,210 000 $,98 м²,3,17
404,,95 000 $,76 м²,2,2
405,,189 000 $,55 м²,2,4
406,,230 000 $,86 м²,2,6
407,,115 000 $,65 м²,3,1
408,,79 000 $,60 м²,3,5
409,,285 000 $,110 м²,2,12
410,,435 000 $,130 м²,4,3
411,,135 000 $,50 м²,1,3
412,,90 000 $,74 м²,3,9
413,,130 000 $,55 м²,2,3
414,,112 000 $,46 м²,1,12
415,,80 000 $,46 м²,1,22
416,,167 000 $,71 м²,2,13
417,,130 000 $,61 м²,2,22
418,,100 000 $,38 м²,1,31
419,,200 000 $,71 м²,2,28
420,,140 000 $,50 м²,2,3
421,,105 000 $,53 м²,2,3
422,,195 000 $,135 м²,3,Цокольний
