,name,price,square,num_of_room,poverh
0,,220 000 $,95 м²,2,16
1,,57 000 $,33 м²,1,3
2,,100 000 $,45 м²,2,2
3,,34 000 $,33 м²,1,5
4,,73 700 $,67 м²,2,11
5,,199 000 $,105 м²,3,2
6,,105 000 $,54 м²,1,25
7,,55 000 $,45 м²,2,4
8,,170 000 $,74 м²,2,10
9,,240 000 $,101 м²,3,16
10,,135 000 $,50 м²,2,4
11,,110 500 $,70 м²,2,6
12,,74 000 $,31 м²,1,16
13,,32 000 $,28 м²,1,2
14,,55 000 $,61 м²,3,3
15,,79 000 $,90 м²,4,1
16,,206 000 $,147 м²,3,14
17,,500 000 $,205 м²,3,2
18,,199 000 $,180 м²,4,6
19,,106 000 $,52 м²,1,6
20,,80 500 $,32 м²,1,2
21,,70 000 $,55 м²,2,16
22,,70 000 $,28 м²,1,16
23,,98 000 $,1 м²,1,2
24,,165 000 $,74 м²,2,3
25,,239 000 $,84 м²,2,16
26,,73 000 $,31 м²,1,4
27,,150 000 $,58 м²,1,11
28,,115 000 $,46 м²,1,5
29,,430 000 $,152 м²,4,4
30,,580 000 $,140 м²,3,3
31,,870 000 $,225 м²,4,9
32,,110 000 $,93 м²,3,4
33,,170 000 $,47 м²,1,2
34,,41 000 $,22 м²,1,1
35,,136 999 $,68 м²,2,3
36,,60 000 $,42 м²,1,4
37,,155 000 $,55 м²,2,3
38,,87 000 $,30 м²,1,3
39,,220 000 $,60 м²,2,6
40,,28 300 $,28 м²,1,1
41,,180 000 $,81 м²,3,7
42,,420 000 $,120 м²,5,9
43,,350 000 $,134 м²,3,12
44,,156 000 $,68 м²,2,2
45,,276 000 $,120 м²,3,14
46,,185 000 $,80 м²,2,14
47,,460 000 $,211 м²,6,14
48,,130 000 $,48 м²,2,3
49,,170 000 $,74 м²,2,3
50,,203 000 $,90 м²,3,1
51,,375 000 $,167 м²,4,3
52,,168 000 $,78 м²,2,12
53,,250 000 $,136 м²,3,6
54,,435 000 $,155 м²,4,10
55,,450 000 $,160 м²,3,5
56,,180 000 $,121 м²,3,14
57,,216 000 $,48 м²,2,9
58,,200 000 $,156 м²,1,7
59,,230 000 $,127 м²,4,8
60,,190 000 $,47 м²,1,5
61,,299 000 $,82 м²,2,16
62,,218 000 $,92 м²,2,6
63,,218 000 $,92 м²,2,6
64,,90 000 $,41 м²,1,11
65,,91 000 $,65 м²,2,2
66,,190 550 $,74 м²,3,3
67,,133 900 $,48 м²,1,3
68,,60 000 $,42 м²,2,4
69,,395 000 $,146 м²,3,18
70,,209 000 $,118 м²,4,9
71,,130 000 $,78 м²,2,22
72,,140 400 $,54 м²,1,4
73,,105 000 $,49 м²,1,20
74,,183 000 $,86 м²,2,18
75,,430 000 $,195 м²,1,7
76,,120 000 $,51 м²,1,18
77,,220 000 $,98 м²,3,10
78,,99 000 $,50 м²,1,19
79,,70 000 $,51 м²,1,5
80,,90 000 $,53 м²,1,14
81,,265 000 $,93 м²,3,14
82,,93 000 $,103 м²,2,19
83,,550 000 $,188 м²,3,2
84,,270 000 $,128 м²,3,12
85,,220 000 $,83 м²,3,16
86,,289 000 $,99 м²,2,4
87,,94 000 $,43 м²,1,21
88,,350 000 $,250 м²,3,13
89,,250 000 $,128 м²,2,14
90,,241 625 $,97 м²,2,12
91,,105 000 $,49 м²,1,21
92,,105 000 $,49 м²,1,20
93,,103 400 $,47 м²,1,20
94,,90 000 $,53 м²,2,28
95,,460 000 $,142 м²,3,9
96,,329 000 $,135 м²,3,7
97,,196 500 $,87 м²,1,26
98,,220 000 $,95 м²,2,16
99,,89 500 $,45 м²,2,15
100,,900 000 $,181 м²,4,4
101,,125 000 $,45 м²,1,2
102,,137 000 $,80 м²,2,11
103,,132 000 $,54 м²,2,22
104,,135 000 $,63 м²,1,4
105,,214 200 $,89 м²,2,10
106,,310 000 $,127 м²,3,9
107,,107 000 $,49 м²,1,7
108,,200 000 $,77 м²,2,15
109,,135 000 $,6 м²,3,6
110,,195 000 $,82 м²,2,7
111,,105 000 $,49 м²,1,21
112,,125 000 $,60 м²,2,15
113,,345 000 $,118 м²,3,11
114,,340 000 $,160 м²,4,16
115,,560 000 $,140 м²,2,8
116,,85 000 $,62 м²,2,2
117,,215 000 $,105 м²,3,15
118,,110 000 $,70 м²,3,3
119,,400 000 $,165 м²,3,19
120,,150 000 $,76 м²,2,23
121,,140 000 $,53 м²,2,2
122,,97 000 $,79 м²,2,3
123,,155 000 $,100 м²,3,18
124,,152 000 $,95 м²,2,13
125,,265 000 $,87 м²,3,19
126,,48 500 $,29 м²,1,3
127,,105 000 $,45 м²,2,2
128,,49 000 $,43 м²,1,16
129,,113 400 $,48 м²,1,11
130,,99 000 $,50 м²,1,19
131,,355 000 $,88 м²,3,7
132,,145 500 $,59 м²,1,15
133,,93 000 $,53 м²,2,17
134,,195 000 $,52 м²,2,2
135,,225 000 $,96 м²,2,14
136,,575 000 $,230 м²,6,4
137,,365 000 $,114 м²,2,9
138,,770 000 $,220 м²,4,20
139,,896 000 $,200 м²,4,5
140,,95 000 $,52 м²,1,29
141,,186 000 $,83 м²,2,21
142,,97 500 $,44 м²,1,21
143,,139 000 $,67 м²,2,18
144,,175 000 $,92 м²,2,6
145,,87 000 $,52 м²,1,7
146,,230 000 $,86 м²,2,6
147,,231 000 $,96 м²,2,14
148,,162 000 $,125 м²,4,24
149,,345 000 $,165 м²,3,5
150,,173 000 $,69 м²,2,7
151,,118 000 $,51 м²,2,18
152,,90 000 $,46 м²,2,8
153,,109 650 $,43 м²,1,15
154,,120 000 $,58 м²,1,8
155,,290 000 $,106 м²,3,6
156,,265 000 $,78 м²,3,1
157,,96 246 $,107 м²,3,13
158,,245 000 $,89 м²,2,17
159,,168 000 $,58 м²,2,4
160,,40 000 $,39 м²,1,19
161,,100 000 $,48 м²,1,21
162,,90 000 $,54 м²,1,23
163,,342 000 $,122 м²,3,8
164,,245 000 $,89 м²,2,17
165,,380 000 $,135 м²,3,36
166,,195 000 $,52 м²,2,2
167,,430 000 $,118 м²,3,8
168,,365 000 $,115 м²,2,9
169,,250 000 $,91 м²,2,14
170,,270 000 $,68 м²,2,6
171,,1 000 000 $,337 м²,5,11
172,,162 000 $,71 м²,2,13
173,,490 000 $,100 м²,3,19
174,,150 000 $,67 м²,2,8
175,,220 000 $,110 м²,3,10
176,,269 000 $,179 м²,1,2
177,,1 200 000 $,200 м²,4,17
178,,49 900 $,27 м²,1,3
179,,208 817 $,91 м²,2,12
180,,168 000 $,47 м²,1,2
181,,115 000 $,55 м²,2,8
182,,71 500 $,66 м²,2,10
183,,120 000 $,45 м²,1,8
184,,147 000 $,80 м²,2,6
185,,240 000 $,97 м²,3,12
186,,82 000 $,46 м²,1,7
187,,170 000 $,48 м²,2,6
188,,365 000 $,115 м²,2,9
189,,158 000 $,120 м²,4,14
190,,120 000 $,84 м²,2,8
191,,340 000 $,125 м²,3,16
192,,105 000 $,52 м²,2,2
193,,179 000 $,82 м²,2,22
194,,144 000 $,74 м²,3,8
195,,145 000 $,69 м²,1,10
196,,450 000 $,98 м²,2,21
197,,210 000 $,44 м²,2,4
198,,225 000 $,87 м²,3,22
199,,108 000 $,52 м²,1,15
200,,1 450 000 $,200 м²,4,5
201,,415 000 $,165 м²,4,11
202,,184 000 $,55 м²,2,6
203,,170 000 $,50 м²,3,6
204,,560 000 $,110 м²,3,20
205,,97 000 $,47 м²,1,16
206,,75 000 $,44 м²,1,3
207,,158 000 $,100 м²,3,2
208,,113 400 $,48 м²,1,11
209,,88 888 $,48 м²,1,4
210,,149 000 $,45 м²,1,4
211,,136 000 $,59 м²,1,5
212,,189 000 $,99 м²,3,3
213,,196 500 $,87 м²,3,26
214,,200 000 $,156 м²,4,7
